,Brand,Product Type,Product Name,Description,Price,Sales Price,Color,Material,Product URL,Picture URL,Timestamp,Gender,New Arrival
135,Kowtow,none,BRETON SWEATER,"A lightweight sweater featuring a wide boat neckline and a classic breton stripe. It has a relaxed fit, and is made from organic cotton rugby knit jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wear",US$ 115,US$ 79,BLUE STRIPE,"['300gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-breton-sweater-blue-stripe,//cdn.shopify.com/s/files/1/2182/6091/products/breton_sweater-blue_stripe-lookbook-0007_grande.jpg?v=1629795736,2022-03-15 21:54:32.712984,unisex,False
136,Kowtow,none,PLEATED SLEEVE DRESS,"A relaxed t-shirt dress with a wide frill sleeve, made from mid-weight organic cotton jersey. The dress features a button front, side seam pockets, and comes with a detachable fabric belt. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam.",US$ 159,US$ 109,BLACK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-pleated-sleeve-dress-black,//cdn.shopify.com/s/files/1/2182/6091/products/pleated_sleeve_dress-black-lookbook-0004_grande.jpg?v=1629795866,2022-03-15 21:54:33.033623,unisex,False
137,Kowtow,none,RAGLAN SLEEVE DRESS,"An oversized dress featuring a mid-length raglan sleeve which is finished with a narrow elastic cuff. It has a wide ribbed neckband and is made from a mid-weight organic cotton jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A s",US$ 135,US$ 89,BLACK,"['190gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-raglan-sleeve-dress-black,//cdn.shopify.com/s/files/1/2182/6091/products/raglan_sleeve_dress-black-lookbook-0002_grande.jpg?v=1629795850,2022-03-15 21:54:33.316581,unisex,False
138,Kowtow,none,RAY TOP,"A short sleeve tee featuring a statement double-layered pleat collar. The tee has a classic fit and is made from mid-weight organic cotton jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are p",US$ 115,US$ 79,BLACK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-ray-top-black,//cdn.shopify.com/s/files/1/2182/6091/products/ray_top-black-lookbook-0004_grande.jpg?v=1629795671,2022-03-15 21:54:33.637545,unisex,False
139,Kowtow,none,FRILL DRESS,"A relaxed dress with an a-line shape and a wide frill sleeve, made from mid-weight organic cotton jersey.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement towards a better futur",US$ 149,US$ 69,GREY MARLE,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-frill-dress-grey-marle,//cdn.shopify.com/s/files/1/2182/6091/products/frill_dress-grey_marle-lookbook-0004_grande.jpg?v=1629795876,2022-03-15 21:54:33.917835,unisex,False
140,Kowtow,none,RAY TOP,"A short sleeve tee featuring a statement double-layered pleat collar. The tee has a classic fit and is made from mid-weight organic cotton jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are p",US$ 115,US$ 79,GREY MARLE,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-ray-top-grey-marle,//cdn.shopify.com/s/files/1/2182/6091/products/ray_top-grey_marle-lookbook-0014_grande.jpg?v=1629795666,2022-03-15 21:54:34.529371,unisex,False
141,Kowtow,none,CLASSIC TEE,"A short sleeve tee with a classic fit and a ribbed crew neck, made from mid-weight organic cotton jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are part of the movement towards a better futu",US$ 65,US$ 49,GREY MARLE,"['190gsm', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/building-block-classic-tee-grey-marle,//cdn.shopify.com/s/files/1/2182/6091/products/classic_tee-grey_marle-lookbook-0005_grande.jpg?v=1629795718,2022-03-15 21:54:34.865727,unisex,False
142,Kowtow,none,FRILL BOXY TOP,"A short sleeve top with an oversized fit, featuring frill detailing across the body and sleeves. The top has a ribbed crew neckline and is made from a mid-weight organic cotton jersey. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A s",US$ 135,US$ 79,INK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-frill-boxy-top-ink,//cdn.shopify.com/s/files/1/2182/6091/products/frill_boxy_top-ink-lookbook-0011_grande.jpg?v=1629795682,2022-03-15 21:54:35.137234,unisex,False
143,Kowtow,none,RAGLAN SLEEVE DRESS,"An oversized dress featuring a mid-length raglan sleeve which is finished with a narrow elastic cuff. It has a wide ribbed neckband and is made from a mid-weight organic cotton jersey.To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A si",US$ 135,US$ 79,INK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-raglan-sleeve-dress-ink,//cdn.shopify.com/s/files/1/2182/6091/products/raglan_sleeve_dress-ink-lookbook-0007_grande.jpg?v=1629795842,2022-03-15 21:54:35.457412,unisex,False
144,Kowtow,none,RIB PANEL DRESS,"A longline t-shirt dress, made from mid-weight organic cotton jersey. The dress has a gathered waist and features ribbed panels through the top. To indicate that this garment has been made with no harm to the planet, we have added a colourful ‘Building Block’ tag to the seam. A signifier that it, and its wearer are par",US$ 159,US$ 109,INK,"['190gsm', 'fairganic', 'seed-to-garment""']",https://us.kowtowclothing.com/products/building-block-rib-panel-dress-ink,//cdn.shopify.com/s/files/1/2182/6091/products/rib_panel_dress-ink-lookbook-0002_grande.jpg?v=1629795837,2022-03-15 21:54:35.781878,unisex,False
